country,year,population,co2,gdp,co2_per_gdp,co2_per_capita,co2_growth_abs,co2_growth_prct,cumulative_co2,land_use_change_co2,cumulative_luc_co2,co2_including_luc,total_ghg,primary_energy_consumption,energy_per_gdp
Argentina,1990,32755907.0,112.188,557088925124.0,0.201382570969309,3.425,-4.879,-4.167,3658.052,40.902,9199.135,153.09,286.574,513.625,0.921980274308405
Argentina,1991,33230293.0,117.727,607968472614.0,0.19363997526685078,3.543,5.539,4.937,3775.779,84.645,9283.779,202.372,316.994,522.459,0.8593521268523242
Argentina,1992,33693532.0,121.514,656224702857.0,0.18517132846563916,3.606,3.787,3.217,3897.293,56.127,9339.906,177.641,309.154,560.339,0.853882820260281
Argentina,1993,34152719.0,118.021,710080926887.0,0.16620781594205739,3.456,-3.493,-2.875,4015.314,45.388,9385.294,163.409,298.301,578.831,0.815162016162861
Argentina,1994,34613492.0,118.507,751522674939.0,0.15768918750138716,3.424,0.486,0.412,4133.821,44.502,9429.796,163.009,299.414,611.176,0.8132502456424329
Argentina,1995,35070016.0,125.415,730140279566.0,0.17176836220369526,3.576,6.909,5.83,4259.236,45.288,9475.084,170.703,308.467,630.652,0.8637408695968171
Argentina,1996,35513795.0,131.446,770492868120.0,0.17059989188573257,3.701,6.03,4.808,4390.682,46.211,9521.294,177.657,311.916,659.104,0.8554316688332386
Argentina,1997,35947790.0,136.617,832987905019.0,0.16400838376744958,3.8,5.171,3.934,4527.299,51.298,9572.593,187.915,319.533,668.982,0.8031113008594535
Argentina,1998,36372862.0,139.505,865059429174.0,0.16126637696233892,3.835,2.888,2.114,4666.804,58.007,9630.601,197.512,321.302,694.257,0.8025541096788109
Argentina,1999,36794687.0,148.345,835773213823.0,0.17749432207983695,4.032,8.839,6.336,4815.148,53.945,9684.545,202.289,332.044,705.548,0.8441859446208824
Argentina,2000,37213986.0,143.355,829178972033.0,0.1728878864939362,3.852,-4.99,-3.364,4958.503,54.57,9739.114,197.925,329.932,703.635,0.848592431468458
Argentina,2001,37624817.0,135.004,792621800475.0,0.17032587284262835,3.588,-8.351,-5.825,5093.508,51.677,9790.792,186.681,319.058,687.341,0.8671739782934211
Argentina,2002,38029345.0,124.93,706269738674.0,0.17688709165785904,3.285,-10.074,-7.462,5218.438,185.242,9976.034,310.172,394.168,658.151,0.9318691768327191
Argentina,2003,38424283.0,134.421,768683083609.0,0.17487180720679793,3.498,9.491,7.597,5352.858,251.269,10227.304,385.69,455.75,704.758,0.9168381808158584
Argentina,2004,38815915.0,157.235,838091886093.0,0.18761069353981577,4.051,22.814,16.972,5510.094,295.599,10522.901,452.834,507.462,751.157,0.8962704596768365
Argentina,2005,39216786.0,161.728,912276929668.0,0.17727950224375047,4.124,4.493,2.857,5671.822,310.783,10833.685,472.511,518.319,796.367,0.8729443594389892
Argentina,2006,39622113.0,174.342,985689236302.0,0.1768731904327951,4.4,12.614,7.799,5846.164,304.026,11137.711,478.368,529.459,836.059,0.8481973518719083
Argentina,2007,40016767.0,173.764,1074476681421.0,0.16171965665201443,4.342,-0.578,-0.332,6019.927,162.251,11299.962,336.015,436.537,869.076,0.8088365387796441
Argentina,2008,40424151.0,187.596,1118070705029.0,0.16778545324209548,4.641,13.832,7.96,6207.523,90.352,11390.313,277.947,404.48,879.072,0.7862400794922885
Argentina,2009,40854832.0,178.378,1051897409980.0,0.16957737352294797,4.366,-9.217,-4.913,6385.901,337.584,11727.897,515.962,540.889,852.154,0.8101113206621569
Argentina,2010,41288694.0,186.121,1158406210935.0,0.16066989130675816,4.508,7.743,4.341,6572.022,244.195,11972.093,430.317,479.33,882.268,0.7616222976635141
Argentina,2011,41730655.0,189.884,1227956360246.0,0.15463415976929343,4.55,3.763,2.022,6761.906,233.023,12205.115,422.907,479.874,907.376,0.7389317970699079
Argentina,2012,42161718.0,191.715,1215352364993.0,0.15774437564130153,4.547,1.831,0.964,6953.621,151.266,12356.382,342.98,430.562,944.132,0.7768380818557405
Argentina,2013,42582453.0,189.525,1244585524448.0,0.1522796113863355,4.451,-2.19,-1.142,7143.146,103.32,12459.701,292.845,403.474,1009.449,0.8110724254548212
Argentina,2014,43024071.0,188.539,1213313877880.0,0.1553917773770383,4.382,-0.986,-0.52,7331.685,177.77,12637.471,366.309,449.449,993.008,0.8184263100452323
Argentina,2015,43477011.0,191.809,1246451419104.0,0.15388405601710503,4.412,3.27,1.734,7523.493,111.37,12748.841,303.179,413.0,1009.992,0.8102939148049776
Argentina,2016,43900312.0,190.02,1220521143173.0,0.15568759383061834,4.328,-1.788,-0.932,7713.514,107.859,12856.7,297.879,414.578,1005.722,0.8240103054547792
Argentina,2017,44288898.0,187.068,1254921567938.0,0.14906748340247045,4.224,-2.952,-1.554,7900.582,80.68,12937.38,267.748,396.408,996.988,0.794462399461491
Argentina,2018,44654876.0,182.483,1222075295207.0,0.1493222232015502,4.087,-4.585,-2.451,8083.065,113.389,13050.769,295.872,406.818,986.055,0.8068692689127457
Argentina,2019,44973469.0,180.428,1197623267200.0,0.15065505567692766,4.012,-2.056,-1.127,8263.493,161.779,13212.548,342.207,432.561,925.658,0.7729125054193002
